ACT Symbol,Company Name,Security Type,Weight,Value,Industry
ZBH,ZIMMER BIOMET HOLDINGS INC,Equity,0.11,"173,739,643.68",Health Care
HLT,HILTON WORLDWIDE HOLDINGS INC,Equity,0.11,"172,651,544.34",Consumer Discretionary
A,AGILENT TECHNOLOGIES INC,Equity,0.11,"170,460,926.64",Health Care
FOX,TWENTY-FIRST CENTURY FOX INC CLASS,Equity,0.11,"169,176,828.21",Communication
DLR,DIGITAL REALTY TRUST REIT INC,Equity,0.1,"166,507,954.01",Real Estate
PCAR,PACCAR INC,Equity,0.1,"165,962,960.59",Industrials
PAYX,PAYCHEX INC,Equity,0.1,"165,703,082.96",Information Technology
PXD,PIONEER NATURAL RESOURCE,Equity,0.1,"165,342,955.86",Energy
WEC,WEC ENERGY GROUP INC,Equity,0.1,"164,890,346.88",Utilities
MTB,M&T BANK CORP,Equity,0.1,"164,889,253.62",Financials
DFS,DISCOVER FINANCIAL SERVICES,Equity,0.1,"163,485,187.56",Financials
ADM,ARCHER DANIELS MIDLAND,Equity,0.1,"162,339,800.91",Consumer Staples
FTV,FORTIVE CORP,Equity,0.1,"162,316,143.67",Industrials
CCL,CARNIVAL CORP,Equity,0.1,"159,831,409.54",Consumer Discretionary
TROW,T ROWE PRICE GROUP INC,Equity,0.1,"159,440,085.50",Financials
PH,PARKER-HANNIFIN CORP,Equity,0.1,"159,398,079.12",Industrials
MNST,MONSTER BEVERAGE CORP,Equity,0.1,"158,476,131.00",Consumer Staples
HPE,HEWLETT PACKARD ENTERPRISE,Equity,0.1,"158,194,770.24",Information Technology
DLTR,DOLLAR TREE INC,Equity,0.1,"157,072,414.59",Consumer Discretionary
AZO,AUTOZONE INC,Equity,0.1,"156,627,746.30",Consumer Discretionary
TWTR,TWITTER INC,Equity,0.1,"156,200,669.52",Communication
VTR,VENTAS REIT INC,Equity,0.1,"156,000,991.75",Real Estate
CMI,CUMMINS INC,Equity,0.1,"155,626,994.32",Industrials
MSI,MOTOROLA SOLUTIONS INC,Equity,0.1,"155,372,480.76",Information Technology
PPL,PPL CORP,Equity,0.1,"155,208,596.20",Utilities
KR,KROGER,Equity,0.1,"155,027,447.40",Consumer Staples
DTE,DTE ENERGY,Equity,0.1,"154,257,436.44",Utilities
IQV,IQVIA HOLDINGS INC,Equity,0.1,"153,731,435.20",Health Care
WLTW,WILLIS TOWERS WATSON PLC,Equity,0.1,"152,336,140.74",Financials
ES,EVERSOURCE ENERGY,Equity,0.09,"151,757,734.80",Utilities
APC,ANADARKO PETROLEUM CORP,Equity,0.09,"150,075,849.04",Energy
KHC,KRAFT HEINZ,Equity,0.09,"148,195,898.70",Consumer Staples
ROK,ROCKWELL AUTOMATION INC,Equity,0.09,"147,016,633.64",Industrials
APTV,APTIV PLC,Equity,0.09,"146,361,050.04",Consumer Discretionary
AMD,ADVANCED MICRO DEVICES INC,Equity,0.09,"145,924,804.20",Information Technology
TDG,TRANSDIGM GROUP INC,Equity,0.09,"145,514,078.52",Industrials
CXO,CONCHO RESOURCES INC,Equity,0.09,"145,021,152.32",Energy
SYF,SYNCHRONY FINANCIAL,Equity,0.09,"143,593,322.16",Financials
MCHP,MICROCHIP TECHNOLOGY INC,Equity,0.09,"142,958,350.08",Information Technology
BXP,BOSTON PROPERTIES REIT INC,Equity,0.09,"142,848,706.71",Real Estate
SWK,STANLEY BLACK & DECKER INC,Equity,0.09,"142,571,095.44",Industrials
RCL,ROYAL CARIBBEAN CRUISES LTD,Equity,0.09,"141,179,728.50",Consumer Discretionary
VRSK,VERISK ANALYTICS INC,Equity,0.09,"140,244,525.61",Industrials
O,REALTY INCOME REIT CORP,Equity,0.09,"140,190,232.16",Real Estate
SBAC,SBA COMMUNICATIONS REIT CORP CLASS,Equity,0.09,"139,862,873.10",Real Estate
UAL,UNITED CONTINENTAL HOLDINGS INC,Equity,0.09,"139,852,869.75",Industrials
NTRS,NORTHERN TRUST CORP,Equity,0.09,"139,291,929.12",Financials
CLX,CLOROX,Equity,0.09,"139,247,752.62",Consumer Staples
FLT,FLEETCOR TECHNOLOGIES INC,Equity,0.09,"138,965,618.93",Information Technology
GPN,GLOBAL PAYMENTS INC,Equity,0.09,"137,384,599.78",Information Technology
EIX,EDISON INTERNATIONAL,Equity,0.09,"137,108,264.70",Utilities
FE,FIRSTENERGY CORP,Equity,0.08,"134,881,375.92",Utilities
HRS,HARRIS CORP,Equity,0.08,"133,391,572.60",Industrials
WY,WEYERHAEUSER REIT,Equity,0.08,"132,874,100.17",Real Estate
NEM,NEWMONT MINING CORP,Equity,0.08,"131,975,301.12",Materials
VRSN,VERISIGN INC,Equity,0.08,"130,714,262.95",Information Technology
NUE,NUCOR CORP,Equity,0.08,"130,652,214.91",Materials
FCX,FREEPORT MCMORAN INC,Equity,0.08,"130,426,854.28",Materials
INFO,IHS MARKIT LTD,Equity,0.08,"129,761,538.60",Industrials
CERN,CERNER CORP,Equity,0.08,"129,579,661.13",Health Care
IP,INTERNATIONAL PAPER,Equity,0.08,"129,066,433.80",Materials
KLAC,KLA TENCOR CORP,Equity,0.08,"128,786,938.75",Information Technology
TSN,TYSON FOODS INC CLASS A,Equity,0.08,"128,407,894.40",Consumer Staples
DXC,DXC TECHNOLOGY,Equity,0.08,"128,349,883.84",Information Technology
AMP,AMERIPRISE FINANCE INC,Equity,0.08,"127,429,908.55",Financials
ESS,ESSEX PROPERTY TRUST REIT INC,Equity,0.08,"126,479,107.44",Real Estate
BLL,BALL CORP,Equity,0.08,"126,163,000.80",Materials
AME,AMETEK INC,Equity,0.08,"125,820,416.00",Industrials
ALGN,ALIGN TECHNOLOGY INC,Equity,0.08,"125,569,862.11",Health Care
KEY,KEYCORP,Equity,0.08,"124,311,774.00",Financials
AWK,AMERICAN WATER WORKS INC,Equity,0.08,"124,226,302.86",Utilities
FAST,FASTENAL,Equity,0.08,"123,664,836.10",Industrials
FITB,FIFTH THIRD BANCORP,Equity,0.08,"122,923,941.14",Financials
IDXX,IDEXX LABORATORIES INC,Equity,0.08,"121,504,085.62",Health Care
CTAS,CINTAS CORP,Equity,0.08,"120,710,668.40",Industrials
WAT,WATER CORP,Equity,0.08,"120,492,725.22",Health Care
AEE,AMEREN CORP,Equity,0.08,"120,371,337.90",Utilities
ULTA,ULTA BEAUTY INC,Equity,0.07,"119,363,398.72",Consumer Discretionary
HIG,HARTFORD FINANCIAL SERVICES GROUP,Equity,0.07,"119,147,667.84",Financials
CBS,CBS CORP CLASS B,Equity,0.07,"118,658,220.06",Communication
CFG,CITIZENS FINANCIAL GROUP INC,Equity,0.07,"118,457,669.40",Financials
OMC,OMNICOM GROUP INC,Equity,0.07,"115,695,975.69",Communication
MTD,METTLER TOLEDO INC,Equity,0.07,"115,523,289.40",Health Care
FRC,FIRST REPUBLIC BANK,Equity,0.07,"115,492,215.79",Financials
LLL,L3 TECHNOLOGIES INC,Equity,0.07,"115,475,578.40",Industrials
RSG,REPUBLIC SERVICES INC,Equity,0.07,"115,310,825.70",Industrials
ETR,ENTERGY CORP,Equity,0.07,"114,239,018.94",Utilities
RF,REGIONS FINANCIAL CORP,Equity,0.07,"113,858,769.92",Financials
NTAP,NETAPP INC,Equity,0.07,"113,288,141.34",Information Technology
MKC,MCCORMICK & CO NON-VOTING INC,Equity,0.07,"112,661,892.42",Consumer Staples
CHD,CHURCH AND DWIGHT INC,Equity,0.07,"112,106,389.68",Consumer Staples
GPC,GENUINE PARTS,Equity,0.07,"111,067,633.25",Consumer Discretionary
CAH,CARDINAL HEALTH INC,Equity,0.07,"110,855,507.40",Health Care
MYL,MYLAN NV,Equity,0.07,"109,707,251.34",Health Care
CBRE,CBRE GROUP INC CLASS A,Equity,0.07,"109,559,176.83",Real Estate
FANG,DIAMONDBACK ENERGY INC,Equity,0.07,"109,297,871.14",Energy
CDNS,CADENCE DESIGN SYSTEMS INC,Equity,0.07,"108,784,619.13",Information Technology
ABMD,ABIOMED INC,Equity,0.07,"107,947,784.80",Health Care
TSS,TOTAL SYSTEM SERVICES INC,Equity,0.07,"107,306,452.06",Information Technology
CNP,CENTERPOINT ENERGY INC,Equity,0.07,"107,196,020.40",Utilities
HSY,HERSHEY FOODS,Equity,0.07,"105,861,460.32",Consumer Staples
MSCI,MSCI INC,Equity,0.07,"105,610,745.12",Financials
SNPS,SYNOPSYS INC,Equity,0.07,"104,978,316.30",Information Technology
KEYS,KEYSIGHT TECHNOLOGIES INC,Equity,0.07,"104,763,038.66",Information Technology
CMS,CMS ENERGY CORP,Equity,0.07,"104,279,770.20",Utilities
MXIM,MAXIM INTEGRATED PRODUCTS INC,Equity,0.06,"104,143,880.10",Information Technology
HBAN,HUNTINGTON BANCSHARES INC,Equity,0.06,"103,624,443.02",Financials
INCY,INCYTE CORP,Equity,0.06,"102,533,333.95",Health Care
HST,HOST HOTELS & RESORTS REIT INC,Equity,0.06,"101,958,468.04",Real Estate
HCP,HCP REIT INC,Equity,0.06,"101,634,656.25",Real Estate
EXPE,EXPEDIA GROUP INC,Equity,0.06,"101,329,278.12",Consumer Discretionary
LH,LABORATORY CORPORATION OF AMERICA,Equity,0.06,"101,280,122.04",Health Care
VMC,VULCAN MATERIALS,Equity,0.06,"100,971,759.24",Materials
CMG,CHIPOTLE MEXICAN GRILL INC,Equity,0.06,"100,496,635.26",Consumer Discretionary
AJG,ARTHUR J GALLAGHER,Equity,0.06,"100,302,105.80",Financials
ARE,ALEXANDRIA REAL ESTATE EQUITIES RE,Equity,0.06,"100,191,697.28",Real Estate
AAL,AMERICAN AIRLINES GROUP INC,Equity,0.06,"99,922,343.43",Industrials
LEN,LENNAR A CORP,Equity,0.06,"99,875,794.50",Consumer Discretionary
EVRG,EVERGY INC,Equity,0.06,"99,591,287.89",Utilities
ANSS,ANSYS INC,Equity,0.06,"98,825,422.56",Information Technology
COO,COOPER INC,Equity,0.06,"98,814,372.57",Health Care
ANET,ARISTA NETWORKS INC,Equity,0.06,"98,779,947.83",Information Technology
SYMC,SYMANTEC CORP,Equity,0.06,"98,653,537.74",Information Technology
SWKS,SKYWORKS SOLUTIONS INC,Equity,0.06,"98,382,775.92",Information Technology
RMD,RESMED INC,Equity,0.06,"97,967,923.20",Health Care
K,KELLOGG,Equity,0.06,"97,864,696.08",Consumer Staples
GWW,WW GRAINGER INC,Equity,0.06,"96,862,500.93",Industrials
CMA,COMERICA INC,Equity,0.06,"96,562,093.10",Financials
BBY,BEST BUY INC,Equity,0.06,"96,385,360.32",Consumer Discretionary
WDC,WESTERN DIGITAL CORP,Equity,0.06,"96,354,110.09",Information Technology
HES,HESS CORP,Equity,0.06,"96,298,823.84",Energy
MRO,MARATHON OIL CORP,Equity,0.06,"95,644,303.53",Energy
DRI,DARDEN RESTAURANTS INC,Equity,0.06,"95,264,112.24",Consumer Discretionary
DHI,D R HORTON INC,Equity,0.06,"94,938,665.16",Consumer Discretionary
MGM,MGM RESORTS INTERNATIONAL,Equity,0.06,"94,537,763.64",Consumer Discretionary
